crop,ds,y
Onion,2026-03-07,28.44
Onion,2026-03-08,28.31
Onion,2026-03-09,28.25
Onion,2026-03-10,25.63
Onion,2026-03-11,26.73
Onion,2026-03-12,24.22
Onion,2026-03-13,17.59
Onion,2026-03-14,25.08
Onion,2026-03-15,22.15
Onion,2026-03-16,41.01
Onion,2026-03-17,37.34
Onion,2026-03-18,23.18
Onion,2026-03-19,37.65
Onion,2026-03-20,24.1
Onion,2026-03-21,24.16
Onion,2026-03-22,31.53
Onion,2026-03-23,21.41
Onion,2026-03-24,21.71
Onion,2026-03-25,22.91
Onion,2026-03-26,39.92
Onion,2026-03-27,25.09
Onion,2026-03-28,16.77
Onion,2026-03-29,23.93
Onion,2026-03-30,26.65
Onion,2026-03-31,26.08
Onion,2026-04-01,29.13
Onion,2026-04-02,25.61
Onion,2026-04-03,37.31
Onion,2026-04-04,24.0
Onion,2026-04-05,26.18
Onion,2026-04-06,26.55
Onion,2026-04-07,26.84
Onion,2026-04-08,29.26
Onion,2026-04-09,27.1
Onion,2026-04-10,24.13
Onion,2026-04-11,25.71
Onion,2026-04-12,25.77
Onion,2026-04-13,23.01
Onion,2026-04-14,24.75
Onion,2026-04-15,40.15
Onion,2026-04-16,32.49
Onion,2026-04-17,23.49
Onion,2026-04-18,22.06
Onion,2026-04-19,22.98
Onion,2026-04-20,22.1
Onion,2026-04-21,24.79
Onion,2026-04-22,21.79
Onion,2026-04-23,23.03
Onion,2026-04-24,21.08
Onion,2026-04-25,24.79
Onion,2026-04-26,25.78
Onion,2026-04-27,25.45
Onion,2026-04-28,27.85
Onion,2026-04-29,27.41
Onion,2026-04-30,34.82
Onion,2026-05-01,24.52
Onion,2026-05-02,24.03
Onion,2026-05-03,28.22
Onion,2026-05-04,27.53
Onion,2026-05-05,29.14
Onion,2026-05-06,25.16
Onion,2026-05-07,26.1
Onion,2026-05-08,25.53
Onion,2026-05-09,25.28
Onion,2026-05-10,27.56
Onion,2026-05-11,23.52
Onion,2026-05-12,23.37
Onion,2026-05-13,27.53
Onion,2026-05-14,25.86
Onion,2026-05-15,21.95
Onion,2026-05-16,23.91
Onion,2026-05-17,25.13
Onion,2026-05-18,24.17
Onion,2026-05-19,21.29
Onion,2026-05-20,22.01
Onion,2026-05-21,37.15
Onion,2026-05-22,41.34
Onion,2026-05-23,31.56
Onion,2026-05-24,30.15
Onion,2026-05-25,25.47
Onion,2026-05-26,16.96
Onion,2026-05-27,24.8
Onion,2026-05-28,26.55
Onion,2026-05-29,25.4
Onion,2026-05-30,25.29
Onion,2026-05-31,25.29
Onion,2026-06-01,25.54
Onion,2026-06-02,28.47
Onion,2026-06-03,28.55
Onion,2026-06-04,25.33
Onion,2026-06-05,37.96
Onion,2026-06-06,41.91
Onion,2026-06-07,25.7
Onion,2026-06-08,25.68
Onion,2026-06-09,25.74
Onion,2026-06-10,25.41
Onion,2026-06-11,27.12
Onion,2026-06-12,26.61
Onion,2026-06-13,22.21
Onion,2026-06-14,21.58
Onion,2026-06-15,21.74
Onion,2026-06-16,23.43
Onion,2026-06-17,24.48
Onion,2026-06-18,23.09
Onion,2026-06-19,23.42
Onion,2026-06-20,23.54
Onion,2026-06-21,24.54
Onion,2026-06-22,25.04
Onion,2026-06-23,23.89
Onion,2026-06-24,23.08
Onion,2026-06-25,26.16
Onion,2026-06-26,24.8
Onion,2026-06-27,22.1
Onion,2026-06-28,26.27
Onion,2026-06-29,27.91
Onion,2026-06-30,26.37
Onion,2026-07-01,25.92
Onion,2026-07-02,29.27
Onion,2026-07-03,29.08
Onion,2026-07-04,26.73
Onion,2026-07-05,28.22
Onion,2026-07-06,29.13
Onion,2026-07-07,26.61
Onion,2026-07-08,20.95
Onion,2026-07-09,41.36
Onion,2026-07-10,23.57
Onion,2026-07-11,14.82
Onion,2026-07-12,23.82
Onion,2026-07-13,26.19
Onion,2026-07-14,35.68
Onion,2026-07-15,23.21
Onion,2026-07-16,24.65
Onion,2026-07-17,23.19
Onion,2026-07-18,22.7
Onion,2026-07-19,20.32
Onion,2026-07-20,24.05
Onion,2026-07-21,22.58
Onion,2026-07-22,25.34
Onion,2026-07-23,42.31
Onion,2026-07-24,24.92
Onion,2026-07-25,22.01
Onion,2026-07-26,21.72
Onion,2026-07-27,14.38
Onion,2026-07-28,25.91
Onion,2026-07-29,27.03
Onion,2026-07-30,38.09
Onion,2026-07-31,24.29
Onion,2026-08-01,23.88
Onion,2026-08-02,28.96
Onion,2026-08-03,25.41
Onion,2026-08-04,29.21
Onion,2026-08-05,28.2
Onion,2026-08-06,26.86
Onion,2026-08-07,44.07
Onion,2026-08-08,36.86
Onion,2026-08-09,23.86
Onion,2026-08-10,26.14
Onion,2026-08-11,25.29
Onion,2026-08-12,23.48
Onion,2026-08-13,22.71
Onion,2026-08-14,24.22
Onion,2026-08-15,23.78
Onion,2026-08-16,17.43
Onion,2026-08-17,20.62
Onion,2026-08-18,21.96
Onion,2026-08-19,24.84
Onion,2026-08-20,38.53
Onion,2026-08-21,30.54
Onion,2026-08-22,21.39
Onion,2026-08-23,25.79
Onion,2026-08-24,23.65
Onion,2026-08-25,24.98
